sampleid	FTG1	FTG10	FTG2	FTG3	FTG4	FTG5	FTG6	FTG7	FTG8	FTG9	FWT1	FWT2	FWT3	FWT4	FWT5	FWT6	FWT7	FWT8	FWT9
Haemophilus	0	0	0	0	0	0	0	0	0.000917179	0	0	0	0	0	0	0	0	0	0
Jeotgalicoccus	0	0	0	0	0.000225598	0.000194389	0.000113514	0	0	0	0	0.000239732	0	0	0.000316231	0.00033117	0	0	0
Klebsiella	0	0	0	0	0.000676794	0	0	0	9.17E-05	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_ASF356	0	0	0	0	0	0	0	0	0	0	0	0	0.000220187	0	0	0	0.000358551	0	0
Lachnospiraceae_NK4A136_group	0.010510511	0.029983343	0.000453309	0.000665701	0.002030381	0.002300266	0.000397298	0.000489716	0.00174264	0.003772923	0.000113947	0.005833467	0.02254712	0.007000376	0.008854455	0.003245463	0.005557548	0.000824856	0.009392748
Lactobacillus	0.18993994	0.013672959	0.773975018	0.727571759	0.461573169	0.576167952	0.534820364	0.713968206	0.388792076	0.326577169	0.401891522	0.292951894	0.566056016	0.096499812	0.295438375	0.378526957	0.361121071	0.463225186	0.289718946
Methylophilaceae_MM2	0	0	0	0	0	0	0	0	0	0	0	0.000879016	0	0.000903274	0	0	0	0	0
Mucispirillum	0.001126126	0.160605219	0.000705148	0.001527196	0.002707174	0.000809953	0.001135138	0.002071875	0.001559204	0.014565236	0.000683683	0.013105322	0.00563678	0.013248024	0.005613092	0.01026626	0.000896379	0.000824856	0.03130916
Muribaculaceae	0.569256757	0.333703498	0.161327692	0.202686298	0.426831102	0.280697207	0.332084681	0.203345137	0.425020637	0.402123366	0.405879672	0.558654307	0.28382068	0.547685359	0.41781959	0.311034574	0.52892315	0.485565026	0.50145624
Muribaculaceae_uncultured	0.012012012	0.071141033	0.001007354	0.001957943	0.006993533	0.006544418	0.001362166	0.002900625	0.011097863	0.009827147	0.003988149	0.022534761	0.01127356	0.036507339	0.005771207	0.016426017	0.006872236	0.00068738	0.006844328
Muribaculum	0.008821321	0.004858412	0.00163695	0.002036261	0.002857573	0.003498996	0.004086498	0.001393807	0.008896634	0.003070984	0.002164995	0.003915615	0	0.00368837	0.004110997	0.000397404	0.003226963	0.005499038	0.009247124
Odoribacter	0.042511261	0.110771793	0.005893019	0.00035243	0.000977591	0.002365062	0.002894602	0.001167784	0.004494176	0.003070984	0.002620784	0.003436152	0.010745112	0.109371472	0.086884339	0.038150748	0.025755946	0.00577399	0.02657638
Oscillibacter	0	0	0.000125919	0	0	0	0	0	9.17E-05	0	0.000113947	0.000159821	0.000396336	0.000376364	0	0.00033117	0.000478069	0	0
Pantoea	0	0.002220988	0	0	0.000150399	0.000259185	0.00073784	0.000489716	0.000733743	0	0.000569736	0	0	0	0	0	0	0	0.000291248
Parasutterella	0	0	0	0.000195794	0	0	0	0	0	0	0	0	0.000264224	0	0	0	0	0	0
Peptococcus	0.000375375	0	0	0	0	0	0	0	9.17E-05	0.000526454	0	0.000399553	0.000132112	0.001279639	0.000553403	0.000198702	0.000179276	0	0
Polaribacter	9.38E-05	0	0	0.000391589	0	0.000939545	0.000794597	0	0	0	0	0	0	0	0.000474346	0	0.000179276	0.001099808	0
Pseudoalteromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000582496
RF39	0.000750751	0.005552471	0	0.000391589	0.000375996	0.00051837	0.000227028	0.000565057	0.000275154	0.001579363	0.002164995	0.000879016	0.000264224	0.011893113	0.003952882	0.000728573	0.000717103	0.001512235	0.001965924
Rikenellaceae_RC9_gut_group	0.010228979	0.019503054	0.001788053	0.010533735	0.037674838	0.005442882	0.026221692	0.01231824	0.043290837	0.012459419	0.071786691	0.008070961	0.032103224	0.016785849	0.029409439	0.01715459	0.008067408	0.015740995	0.02402796
Ruminococcaceae_Incertae_Sedis	0	0	0	0	0	0	0	0	0	0	0.000911577	0	0	0	0	0	0	0	0
Staphylococcus	0	0	0	0	0	0	0	0	0	0	0.000227894	0	0.000264224	0.000150546	0	0.000264936	0	0	0
Stenotrophomonas	0	0	0	0	0.000225598	0.000453574	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus	0.000281532	0	0	0.000117477	7.52E-05	0	0.000113514	0	0	0	0.000455789	0.000159821	0	0.00052691	0.000395288	0.000132468	0.000179276	0	0
Turicibacter	0.081268769	0	0.035055908	0.017543173	0.000526395	0.076459535	0.055167717	0.017742786	0.054572136	0.160129859	0.000341841	0.000159821	0	0.000225819	0.008775397	0.014505232	0	0	0
Unclassified	0.002815315	0.013464742	0.001435479	0.001096448	0.002406377	0.002591849	0.00238379	0.002147216	0.001375768	0.003158726	0.004557885	0.004155346	0.010304738	0.007527286	0.00569215	0.009603921	0.007410063	0.000549904	0.006043396
Weissella	0	0	0	0	0	0	0	0	0.000550307	0	0.000113947	0	0	0	0	0	0	0	0
